,close,high,low,open,RSI,BB_LOWER,BB_UPPER,MACD,SIGNAL,SMA(10),SMA(30),ACTION
10391,162.8934783935547,166.11694994882637,162.6477868725991,165.80247259982983,44.031577982307006,154.27944205235335,180.5528821663966,1.5468871935544826,2.223227170782115,170.89908447265626,164.11406911214192,0
10392,164.77053833007812,166.94244262331648,163.7681128892969,165.12433466236456,47.04463369075872,156.84997239933008,179.21768659725197,1.1377180990683655,2.006125356439365,169.78855743408204,164.26017303466796,0
10393,167.46334838867188,168.0923181339545,163.89591740962862,164.50522763279633,51.1108359231009,158.68685435522724,178.44317646752663,1.0189896325745167,1.8086982116663952,169.06426086425782,164.3859670003255,0
10394,162.44139099121094,168.318342665353,162.1956994829688,167.67953574643167,44.28184286745984,159.789577510241,177.79940411817697,0.5137443506799002,1.5497074394690962,168.14832000732423,164.35517272949218,0
10395,162.22518920898438,163.7288199744053,160.75104022360551,161.09499932270256,44.0092224917382,160.02354741390891,177.6725539654856,0.0947954053064279,1.2587250326365629,167.24024505615233,164.41741383870442,0
10396,164.51502990722656,164.92780484237912,161.0851860080734,162.17605691767423,47.68294696823503,160.38115671356456,177.5134599856542,-0.0518558825800425,0.9966088495932416,166.15526885986327,164.6827596028646,0
10397,164.34796142578125,165.9695343967265,163.23744599263426,165.851592274227,47.43838220076513,160.15910948057822,177.57924653748816,-0.1794900652550382,0.7613890666235856,165.3857635498047,165.00346934000652,0
10398,163.5519256591797,168.57386081804293,163.05072036783037,165.9990185433864,46.22191206907427,159.6753062999952,177.69058267705557,-0.3409443143702617,0.5409223904248162,164.85408630371094,165.1171432495117,-1
10399,159.00173950195312,164.9769598952382,158.71674389745084,163.59127092738578,39.92036291943713,158.1731402677805,177.9859142976492,-0.8265322165114242,0.267431469037568,163.83692626953126,165.2242655436198,0
10400,160.0729217529297,160.35791727852174,155.7290980800687,158.34324409421413,41.92755269455002,157.13268478278607,177.86277572746783,-1.11210897205396,-0.0084766191807376,163.12835235595702,165.49125010172526,0
10401,154.0977325439453,159.54225031873102,154.0191094538627,159.453804965821,34.91943588373833,154.90265721010266,178.2452050335497,-1.7998311080583562,-0.3667475169562615,162.2487777709961,165.6937006632487,1
10402,153.87167358398438,157.0361661796235,152.7021796920346,153.2230444512666,34.683237892516374,153.35456305526725,177.5928856752015,-2.3361670449469045,-0.7606314225543903,161.1588912963867,165.74218343098957,0
10403,160.81983947753906,161.68467841985887,156.19100467866673,156.50549701980856,46.63200294103234,153.31386363037052,176.24493763916075,-2.1754806331094017,-1.043601264665393,160.49454040527343,165.8748570760091,0
10404,154.93307495117188,163.33572839193604,154.53997449609216,159.05086744995398,39.96185874426526,152.14988610748048,175.74214270111327,-2.4943943680112284,-1.3337598853345602,159.74370880126952,165.7775634765625,0
10405,155.23773193359375,155.5030679702358,150.6285567574635,154.009274370481,40.4367006666819,151.26859540866164,175.01661272122115,-2.691526288575716,-1.6053131659827915,159.04496307373046,165.58035481770833,0
10406,156.7315216064453,157.9403346152518,153.6259923615283,155.42444099254382,42.82448395991028,151.50853007105056,172.91335103246504,-2.69613900128536,-1.8234783330433055,158.26661224365233,165.38707631429037,0
10407,163.15884399414062,163.61090803537846,156.51533507735743,156.91827280667675,51.78135775871765,152.09468906939563,171.43877498089736,-2.1563068449735283,-1.8900440354293504,158.14770050048827,165.29535217285155,0
10408,154.0682373046875,161.2522547050873,152.2795959021098,161.0262227132276,41.80592646578521,151.3778073562993,170.67561061245073,-2.4339647279907126,-1.998828173941623,157.19933166503907,164.85507354736328,0
10409,154.79653930664062,156.92243639704813,151.74548246293438,153.54658846859752,42.75736596331946,151.08154520249423,169.53419271254484,-2.565667300250169,-2.1121959992033323,156.7788116455078,164.3126220703125,0
10410,149.65896606445312,153.36944186699063,149.0979741892278,152.48364388073944,38.03347725789162,149.64032200711335,169.22544642550383,-3.049449604955612,-2.2996467203537883,155.73741607666017,163.57762552897137,0
10411,152.07025146484375,154.26505014141273,150.51519817181702,153.06431297866865,41.310821197251016,148.71565868018197,169.0677870595641,-3.201376511403595,-2.47999267856375,155.53466796875,162.89417673746746,0
10412,144.18679809570312,152.99547661401954,143.50769063696876,151.07626967706778,34.825709795886326,146.14333735257634,169.58173436373227,-3.912804111299636,-2.766554965110928,154.56618041992186,161.83787638346354,1
10413,140.30897521972656,143.89149901958908,136.60835102555794,140.51566592761506,32.151980179715224,143.27449273860782,169.73514166080622,-4.73494204307616,-3.1602323807039743,152.5150939941406,160.69129842122396,1
10414,144.787109375,145.76148251772236,140.85027003642924,142.30689638670236,38.06547394855191,141.72075793061907,169.5234483071739,-4.967877674753055,-3.5217614395137917,151.50049743652343,159.7975087483724,0
10415,143.24195861816406,145.19070580004365,141.90343202660608,143.2518103324665,36.87133657807889,140.09412335358692,169.25175982512403,-5.217023000119212,-3.860813751634876,150.30092010498046,158.86204274495444,0
10416,146.8834991455078,147.40512922042456,144.36390904477065,146.5094945567554,41.526958502986446,139.59099894962006,167.99173115291902,-5.06227581410667,-4.101106164129235,149.3161178588867,157.91266632080078,0
10417,138.59646606445312,145.0331931657119,137.69097960525806,144.5312514480339,35.17033829409765,137.67759979909786,167.3299807673084,-5.544419252453281,-4.389768781794045,146.85988006591796,156.79778137207032,0
10418,135.18128967285156,139.42323363038176,134.44313195352663,137.67134051127914,32.93302639182153,135.31127108234887,166.85924588542457,-6.1314184191209335,-4.738098709259423,144.97118530273437,155.67486775716145,1
