Date,close,RSI,BB_LOWER,BB_UPPER,MACD,SIGNAL,SMA(10),SMA(30),ACTION
1981-01-26,0.11059971898794174,53.74187283323447,0.1003255294487613,0.12220315245531624,0.0008361878606397005,0.000746546787140858,0.10922803729772568,0.1073847475151221,0
1981-01-27,0.10974239557981491,52.36857419142869,0.10125905680164315,0.11989784804478668,0.0007349062491485842,0.0007442163716106488,0.109742421656847,0.10775627270340919,-1
1981-01-28,0.10631316155195236,47.17570138145218,0.10162373150246486,0.11811853309614316,0.0003948419559488825,0.0006742860839963778,0.10987101793289185,0.10818495179216067,0
1981-01-29,0.10245528072118759,42.11604645196006,0.10098326997234841,0.11730149193332176,-0.00016119950836154806,0.0005070829879722752,0.10939949378371239,0.10871367628375689,0
1981-01-30,0.09688200056552887,36.09352231698743,0.09937223776021234,0.11676909567079313,-0.0010090766830761766,0.0002036972189016797,0.10845637768507004,0.10898518214623133,0
1981-02-02,0.09130949527025223,31.2775115916574,0.09607276930081873,0.11762507991325827,-0.002077598019341362,-0.00025274698451282574,0.10631302669644356,0.10898518214623133,1
1981-02-03,0.09473875910043716,36.860826979492856,0.09416509838303277,0.11794665484229377,-0.0026316142545812493,-0.0007286748859607338,0.10485552325844764,0.10891374076406161,0
1981-02-04,0.0981680229306221,41.94066672499565,0.09326617178477611,0.11807393002353345,-0.0027757695202867555,-0.0011382001316582744,0.10352661907672882,0.10879943519830704,0
1981-02-05,0.0981680229306221,41.94066672499565,0.09256194793114825,0.1182208303319438,-0.002856664461458533,-0.0014819643946624409,0.10206912085413933,0.10854221805930138,0
1981-02-06,0.09859663993120193,42.60997378534262,0.09182225696143682,0.11788880594673577,-0.0028545325779111286,-0.001756523650293314,0.1006973497569561,0.1081135372320811,0
1981-02-09,0.09345278888940811,37.08472210758173,0.09024389080075018,0.11796680324407824,-0.003213040384172236,-0.0020478657230730475,0.09898265674710274,0.1071704462170601,0
1981-02-10,0.09345278888940811,37.08472210758173,0.08889640408277684,0.11819971365213221,-0.0034568179798982607,-0.002329686142725417,0.09735369607806206,0.10617020030816396,0
1981-02-11,0.09045223146677017,34.09383779839945,0.08706876464980956,0.11856985635262612,-0.003838671579010036,-0.0026315089062234295,0.09576760306954384,0.10516995588938395,0
1981-02-12,0.08959411084651947,33.26750332122337,0.08527723126282326,0.11860374860296614,-0.0041597887322741,-0.0029371856747164226,0.09448148608207703,0.10425541599591573,0
1981-02-13,0.08745087683200836,31.23149875789626,0.08327469179872202,0.11872005959507301,-0.004529191760902884,-0.003255604228308768,0.09353837370872498,0.10322656904657682,0
1981-02-17,0.08959411084651947,35.483689567156844,0.08232467258619443,0.11735518937660082,-0.004600572426932709,-0.0035246095848693254,0.0933668352663517,0.10235489482680957,0
1981-02-18,0.09345278888940811,42.39040611381536,0.08190543664261365,0.1161883248610828,-0.004304260795988113,-0.0036805452606583538,0.0932382382452488,0.10178333049019178,0
1981-02-19,0.08787953108549118,36.33930990581579,0.08108085183044242,0.11465515630702211,-0.004456490849224337,-0.0038357387045333613,0.0922093890607357,0.10118316362301509,0
1981-02-20,0.083164282143116,32.156949101968024,0.07991082695650581,0.1128673088796186,-0.004892210416483356,-0.004047037759049735,0.0907090149819851,0.10049726441502571,0
1981-02-23,0.08445027470588684,34.37530208206476,0.07950475407537144,0.11048697414103825,-0.005077119826893239,-0.004253057848139646,0.08929437845945358,0.0996684804558754,0
